Timestamp,UnixTime,F,FL,FR,L,R,BL,BR,B,M1_Speed,M1_Dir,M2_Speed,M2_Dir,M3_Speed,M3_Dir,M4_Speed,M4_Dir
2025-05-08 13:15:34,1746702934.938705,1600,1600,1600,1600,478,1193,102,923,0,1,0,1,0,1,0,1
2025-05-08 13:15:35,1746702935.2243514,191,1600,1600,1600,473,80,102,67,30,1,30,1,30,1,30,1
2025-05-08 13:15:35,1746702935.4511344,77,1600,1600,1600,469,90,118,52,0,1,0,1,0,1,0,1
2025-05-08 13:15:35,1746702935.7261715,1600,1600,1600,1600,462,90,1600,43,0,1,0,1,0,1,0,1
2025-05-08 13:15:35,1746702935.9806225,1600,1600,1600,1600,463,65,1600,29,30,1,30,1,158,1,158,1
2025-05-08 13:15:36,1746702936.2508268,1600,1600,1600,24,473,46,24,34,30,1,30,1,30,1,30,1
2025-05-08 13:15:36,1746702936.5211356,1600,1600,1600,39,476,28,24,37,30,1,30,1,30,1,30,1
2025-05-08 13:15:36,1746702936.7569401,1600,1600,1600,68,471,26,135,34,30,1,30,1,30,1,30,1
2025-05-08 13:15:37,1746702937.0345252,1600,1600,1600,75,472,26,1600,27,30,1,30,1,30,1,30,1
2025-05-08 13:15:37,1746702937.281269,1600,1600,1600,103,477,26,1600,27,30,1,30,1,158,1,158,1
2025-05-08 13:15:37,1746702937.537083,1600,1600,1600,71,482,26,1600,31,30,1,30,1,255,1,255,1
2025-05-08 13:15:37,1746702937.8363307,1600,1600,1600,1600,530,25,125,30,30,1,30,1,127,1,127,1
2025-05-08 13:15:38,1746702938.0979583,1600,1600,1600,117,534,24,114,30,30,1,30,1,30,1,30,1
2025-05-08 13:15:38,1746702938.3375626,1600,1600,1600,75,529,27,117,29,30,1,30,1,30,1,30,1
2025-05-08 13:15:38,1746702938.5785768,1600,1600,1600,77,528,26,119,29,30,1,30,1,30,1,30,1
2025-05-08 13:15:38,1746702938.8403368,1600,1600,1600,84,527,26,116,31,30,1,30,1,30,1,30,1
2025-05-08 13:15:39,1746702939.1421812,1600,1600,1600,76,527,26,118,30,30,1,30,1,30,1,30,1
2025-05-08 13:15:39,1746702939.4486387,1600,1600,1600,75,527,25,115,30,30,1,30,1,30,1,30,1
2025-05-08 13:15:39,1746702939.6226501,1600,1600,1600,82,525,27,115,32,30,1,30,1,30,1,30,1
2025-05-08 13:15:39,1746702939.9576206,1600,1600,1600,76,526,26,118,31,30,1,30,1,30,1,30,1
2025-05-08 13:15:40,1746702940.1452267,1600,1600,1600,76,523,25,116,31,30,1,30,1,30,1,30,1
2025-05-08 13:15:40,1746702940.4460242,1600,1600,1600,84,523,26,116,31,30,1,30,1,30,1,30,1
2025-05-08 13:15:40,1746702940.6581743,1600,1600,1600,73,523,28,122,31,30,1,30,1,30,1,30,1
2025-05-08 13:15:40,1746702940.931621,1600,1600,1600,27,527,39,126,30,30,1,30,1,30,1,30,1
2025-05-08 13:15:41,1746702941.1888146,1600,1600,1600,76,523,61,127,33,30,1,30,1,30,1,30,1
2025-05-08 13:15:41,1746702941.4404948,1600,1600,1600,76,515,76,127,31,30,1,30,1,30,1,30,1
2025-05-08 13:15:41,1746702941.710889,1600,1600,1600,1600,492,375,79,260,30,1,30,1,30,1,30,1
2025-05-08 13:15:41,1746702941.9921727,1600,1600,1600,1600,470,375,116,260,103,1,103,1,30,1,30,1
2025-05-08 13:15:42,1746702942.2558756,1600,1600,1600,1600,462,1600,116,1076,231,1,231,1,30,1,30,1
2025-05-08 13:15:42,1746702942.506591,1600,1600,1600,1600,461,1600,1600,1071,103,1,103,1,30,1,30,1
2025-05-08 13:15:42,1746702942.756538,1600,1600,1600,1600,466,1600,1600,1063,30,1,30,1,30,1,30,1
2025-05-08 13:15:43,1746702943.0002925,1600,1600,1600,1600,473,1600,1600,1062,30,1,30,1,30,1,30,1
2025-05-08 13:15:43,1746702943.2579882,1600,1600,1600,1600,472,1600,1600,1064,30,1,30,1,30,1,30,1
2025-05-08 13:15:43,1746702943.5279925,1600,1600,1600,1600,470,1600,1600,1063,30,1,30,1,30,1,30,1
2025-05-08 13:15:43,1746702943.833093,1600,1600,1600,1600,472,1600,1600,1066,30,1,30,1,30,1,30,1
2025-05-08 13:15:44,1746702944.0613575,1600,1600,1600,1600,472,1600,1600,1070,30,1,30,1,30,1,30,1
2025-05-08 13:15:44,1746702944.3463862,1600,1600,1600,1600,482,1600,131,1066,30,1,30,1,30,1,30,1
